Date,High,Low,Open,Close,Volume,Adj Close
2006-03-15,24.690000534057617,23.450000762939453,23.950000762939453,24.100000381469727,7251200.0,11.137965202331543
2006-03-16,24.350000381469727,23.889999389648438,24.100000381469727,24.270000457763672,649100.0,11.216530799865723
2006-03-17,25.1200008392334,24.149999618530273,24.25,25.010000228881836,287000.0,11.558526992797852
2006-03-20,25.610000610351562,24.75,25.170000076293945,24.899999618530273,282800.0,11.50768756866455
2006-03-21,24.889999389648438,24.0,24.889999389648438,24.200000762939453,274700.0,11.18418025970459
2006-03-22,24.299999237060547,24.0,24.049999237060547,24.15999984741211,103000.0,11.165692329406738
2006-03-23,24.200000762939453,23.989999771118164,24.09000015258789,24.100000381469727,106200.0,11.137965202331543
2006-03-24,24.989999771118164,24.239999771118164,24.299999237060547,24.5,101300.0,11.322826385498047
2006-03-27,25.75,24.450000762939453,24.649999618530273,24.75,111700.0,11.43836498260498
2006-03-28,24.860000610351562,24.549999237060547,24.729999542236328,24.700000762939453,115400.0,11.41525650024414
2006-03-29,25.049999237060547,24.75,24.950000762939453,24.899999618530273,81900.0,11.50768756866455
2006-03-30,25.450000762939453,24.950000762939453,24.950000762939453,25.450000762939453,132400.0,11.76187515258789
2006-03-31,25.959999084472656,25.5,25.5,25.75,100100.0,11.900522232055664
2006-04-03,25.799999237060547,24.799999237060547,25.799999237060547,24.899999618530273,291800.0,11.50768756866455
2006-04-04,24.899999618530273,24.700000762939453,24.889999389648438,24.799999237060547,220200.0,11.461472511291504
2006-04-05,24.760000228881836,24.6299991607666,24.75,24.68000030517578,122200.0,11.406014442443848
2006-04-06,24.68000030517578,24.049999237060547,24.5,24.25,130100.0,11.20728588104248
2006-04-07,24.25,23.899999618530273,24.25,24.110000610351562,33700.0,11.142584800720215
2006-04-10,24.350000381469727,24.010000228881836,24.049999237060547,24.309999465942383,43800.0,11.235016822814941
2006-04-11,24.280000686645508,23.950000762939453,24.280000686645508,24.100000381469727,163800.0,11.137965202331543
2006-04-12,25.350000381469727,24.06999969482422,25.350000381469727,24.100000381469727,664800.0,11.137965202331543
2006-04-13,24.450000762939453,24.010000228881836,24.149999618530273,24.3799991607666,214700.0,11.267367362976074
2006-04-17,24.700000762939453,24.389999389648438,24.389999389648438,24.600000381469727,203100.0,11.369041442871094
2006-04-18,24.579999923706055,23.979999542236328,24.520000457763672,24.25,186400.0,11.20728588104248
2006-04-19,25.0,24.25,24.25,24.75,241600.0,11.43836498260498
