"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,903143463,903143463,1,68586000000,19021000000,43815000000,25060000000,24133000000,638000000,0,28042000000,12127000000,34591000000,1025000000,1025000000,1.13,1.13,0.44,2021000000,-523000000,-1458000000,40000000,1038000000,453000000,60.25,71.18,49.31,0.1916,0.0695,26.72,2.22,11.35,6.62,0.339,0.5025,0.3519,0.0353,1.97,1.74,0.759
2019-02-28,914298978,914298978,1,70434000000,19851000000,45022000000,25303000000,24769000000,643000000,0,28959000000,12685000000,34528000000,1156000000,1156000000,1.25,1.24,0.44,736000000,-411000000,-505000000,-180000000,1009000000,323000000,75.41,86.31,64.51,0.1972,0.0737,27.09,2.78,13.89,6.18,0.3179,0.5121,0.3517,0.0377,1.95,0.45,0.7845
2018-11-30,943444736,943444736,1,69941000000,20083000000,43678000000,25099000000,25609000000,654000000,0,28393000000,11646000000,33793000000,1123000000,1123000000,1.18,1.18,0.44,459000000,-635000000,390000000,208000000,1183000000,470000000,76.37,85.31,67.42,0.1996,0.0763,27.14,2.79,15.09,5.74,0.3054,0.4548,0.3662,0.0396,1.93,-0.01,0.8002
2018-08-31,949164514,949164514,1,68124000000,17846000000,41435000000,21667000000,26007000000,682000000,0,28697000000,12431000000,33442000000,1512000000,1512000000,1.55,1.54,0.44,2880000000,-390000000,-3512000000,-1033000000,785000000,384000000,65.01,70.95,59.07,0.1878,0.0729,27.4,2.33,15.19,5.3,0.32,0.478,0.3818,0.0382,1.91,2.63,0.8236
2018-05-31,992411822,992411822,1,70152000000,19988000000,41682000000,21482000000,27736000000,734000000,0,29200000000,12456000000,34334000000,1342000000,1342000000,1.35,1.35,0.4,2209000000,-955000000,-1167000000,69000000,1818000000,317000000,66.37,71.18,61.56,0.1591,0.0631,27.95,2.41,16.59,4.86,0.3694,0.4491,0.3954,0.0336,1.87,1.91,0.9305
2018-02-28,991665577,991665577,1,70816000000,20358000000,42638000000,22559000000,27355000000,823000000,0,29237000000,12532000000,33021000000,1349000000,1349000000,1.36,1.36,0.4,2215000000,-3557000000,1241000000,-81000000,1749000000,288000000,73.51,80.68,66.34,0.1485,0.0596,27.58,2.81,20.31,4.46,0.3866,0.4581,0.3863,0.0333,1.79,1.94,0.9024
2017-11-30,990668837,990668837,1,66618000000,19681000000,39862000000,20517000000,25929000000,827000000,0,26519000000,12737000000,30740000000,821000000,821000000,0.82,0.81,0.4,961000000,-599000000,-1857000000,-1471000000,1830000000,378000000,73.86,83.89,63.82,0.1348,0.0551,26.17,2.71,19.54,4.06,0.4179,0.4912,0.3892,0.0319,1.73,0.59,0.9593
2017-08-31,1009549218,1009549218,1,66009000000,19753000000,37735000000,18547000000,27466000000,808000000,0,25788000000,12684000000,30149000000,802000000,802000000,0.77,0.76,0.4,2014000000,-391000000,-10601000000,-8952000000,3301000000,431000000,79.86,83.38,76.34,0.1389,0.0573,27.21,2.79,20.12,3.66,0.3961,0.4618,0.4161,0.0345,1.66,1.57,1.065
2017-05-31,1070096486,1070096486,1,74173000000,28152000000,42689000000,21713000000,30600000000,884000000,0,25724000000,14372000000,30118000000,1162000000,1162000000,1.08,1.07,0.375,1855000000,-255000000,-1211000000,431000000,12253000000,273000000,83.47,86.77,80.16,0.1437,0.0591,28.6,3,21.35,3.26,0.3769,0.4697,0.4125,0.0369,1.6,1.48,1.2966
2017-02-28,1080950894,1080950894,1,72505000000,27509000000,42084000000,17678000000,30067000000,354000000,0,24864000000,17758000000,29446000000,1060000000,1060000000,0.98,0.98,0.375,2857000000,-286000000,-344000000,2224000000,11822000000,261000000,84.1,87.73,80.47,0.1414,0.0597,27.82,3.1,22.25,2.88,0.3794,0.5906,0.4147,0.0366,1.63,2.4,1.5561
2016-11-30,1079409628,1079409628,1,71912000000,26668000000,42220000000,17729000000,29325000000,367000000,0,24931000000,17777000000,28501000000,1054000000,1054000000,0.97,0.97,0.375,525000000,89000000,-778000000,-209000000,9598000000,-58000000,81.36,85.53,77.18,0.1377,0.0592,27.17,2.95,21.3,2.51,0.3874,0.6062,0.4078,0.0352,1.68,0.54,1.5042
2016-08-31,1083282661,1083282661,1,72688000000,25883000000,42407000000,17013000000,29880000000,401000000,0,25829000000,18705000000,28636000000,1030000000,1030000000,0.95,0.95,0.38,2658000000,-1556000000,5500000000,6516000000,9807000000,421000000,81.16,85.09,77.22,0.138,0.0607,27.58,2.84,None,2.13,0.3783,0.626,0.4111,0.0356,1.71,2.07,1.5214
2016-05-31,1082317487,1082317487,1,67333000000,19713000000,36019000000,15811000000,30881000000,433000000,0,27658000000,13151000000,29498000000,1103000000,1103000000,1.02,1.01,0.36,2104000000,-1409000000,-1035000000,-295000000,3291000000,247000000,81.29,86.84,75.74,None,None,28.53,2.98,None,1.75,None,0.4259,0.4586,None,None,1.72,1.2468
2016-02-29,1080245720,1080245720,1,66385000000,20378000000,36467000000,16272000000,29506000000,412000000,0,26918000000,12974000000,30184000000,930000000,930000000,0.86,0.85,0.36,2353000000,-281000000,-1006000000,1016000000,3586000000,311000000,79.28,87.05,71.5,None,None,27.31,2.78,None,1.4,None,0.4397,0.4445,None,None,1.89,1.2523
2015-11-30,1078746871,1078746871,1,68657000000,20231000000,37503000000,16874000000,30709000000,445000000,0,28235000000,13194000000,29033000000,1110000000,1110000000,1.02,1.01,0.36,732000000,-271000000,-853000000,-430000000,2570000000,286000000,87.32,95.74,78.9,None,None,28.47,3.08,None,1.04,None,0.4296,0.4473,None,None,0.41,1.1989
2015-08-31,1088793571,1088793571,1,68782000000,19657000000,37482000000,16557000000,30861000000,439000000,0,28723000000,13315000000,None,None,None,None,None,0,1505000000,-392000000,-2537000000,-1449000000,3000000000,361000000,86.66,97.3,76.01,None,None,28.34,3,None,0.68,None,0.4315,0.4487,None,None,1.05,1.1872
2015-05-31,1092282712,1092282712,1,70644000000,21029000000,38715000000,16157000000,31563000000,366000000,0,28590000000,15055000000,28795000000,1302000000,1302000000,1.19,1.18,0.3375,1822000000,824000000,-1207000000,1444000000,4449000000,-41000000,87.22,93.42,81.01,None,None,28.9,3.09,None,0.68,None,0.477,0.4468,None,None,1.71,1.3015
2015-02-28,1090756509,1090756509,1,71357000000,20715000000,40331000000,16690000000,30814000000,212000000,0,29269000000,16001000000,26573000000,2042000000,2042000000,1.96,1.93,0.3375,None,None,None,None,3005000000,0,75.11,83.77,66.46,None,None,28.25,None,None,0.3375,None,0.5193,0.4318,None,None,None,1.2412
